id,nombre_archivo,emisor,concepto_de_gasto,fecha_emision,importe_sin_iva,origen_campos
GAS-96EBEA0ECD37,F260009 -Zeena - Dossier EnGira.pdf,Responsable: POR FIN LUNES SL,admin@porfinlunes.es. Tratamos la información que nos facilita con el fin de prestarles el  solicitado y realizar su facturación. Los datos,2026-01-20,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-13EC1D902D51,FACTURA 25005841RSPD.pdf,"LABORAL RGPD, S.L.U. - B25857798",,2025-10-14,173.79,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-7DB36DD472BF,FACTURA 25032622R.pdf,"LABORAL RISK, S.L.U. - B25534694","Laboral Risk  de Prevencion, S.L.U. B25534694",2025-10-27,222.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-5BC175E80AD9,FACTURA CUANDO SALI DE CUBA MESA 19-25.pdf,"CUANDO SALI DE CUBA, SL.",,2025-09-18,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-AD9395D0F8E2,FACTURA María José Moral Morgado octubre 2025.pdf,,,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-549FB577D91E,FACTURA_FMPVADJ0062265_25-04-2026.pdf,,,,53.72,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-A9737A7ABA69,FACTURA_FMPVAGI0013315_25-07-2025.pdf,,,,2644.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-705D49C0FB81,FACTURA_FMPVAHI0010009_25-08-2025.pdf,,,,8997.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-A55AC13DF131,FACTURA_MMPVADJ0025146_25-04-2026.pdf,,,,7.81,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-C09F1765D7ED,FACTURA_MMPVAGI0016002_25-07-2025.pdf,,,,6116.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-7AA5ACA9A921,FACTURA_MMPVAHI0004037_25-08-2025.pdf,,,,6116.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-D7685042C062,Factura No. 2025 E 000629 - enGira.pdf,,,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-A9FBC935D015,Factura pccomponentes TV.pdf,,"TV Philips LED 55PUS7000 55"" 4K Ultra HD Smart TV HDR10+ Dolby Atmos WiFi Bluetooth | Abono de portes | Portes",2025-09-11,264.45,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-6BC50EAE4F3D,Factura_202507_01.pdf,,Mantenimiento (1r Semestre 2025) proyecto enGira!,2025-07-01,480.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-909CF487E5B9,Factura_202512_02.pdf,,Mantenimiento proyecto enGira!,2025-12-18,480.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-66C797540C8A,Factura_202512_02.pdf,,Mantenimiento proyecto enGira!,2025-12-18,480.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-97D5F7DC6601,Factura_2026-05-25_202786492020_V99933615.pdf,IONOS Cloud S.L.U.,,2026-05-25,19.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-3F30F3ED1DEA,Factura_2026-06-25_202786711054_V99933615.pdf,IONOS Cloud S.L.U.,,2026-06-25,19.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-8D0585910F6D,Factura_FMPVAAJ001XXXX.pdf,,,,661.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-918FD5FC46B7,Factura_FMPVABJ005XXXX.pdf,,,,53.56,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-BACC786F9F9D,Factura_FMPVACJ007XXXX.pdf,,,,53.72,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-75106BC30EE4,Factura_FMPVAEJ003XXXX.pdf,,,,53.72,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-1B31AF143F70,Factura_FMPVAII004XXXX.pdf,,,,646.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-4BFE967669C2,Factura_FMPVAJI006XXXX.pdf,,,,8201.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-25A021B40231,Factura_FMPVAKI003XXXX.pdf,,,,1029.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-64C1CAFA150D,Factura_FMPVALI001XXXX.pdf,,,,661.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-6B8C0B9FD9FB,Factura_MMPVACJ002XXXX.pdf,,,,7.62,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-FADD13D2B8B5,Factura_MMPVAEJ001XXXX.pdf,,,,7.44,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-050F6CD2B543,Factura_MMPVAII001XXXX.pdf,,,,9869.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-0D00B5DF2B3E,Factura_MMPVAJI002XXXX.pdf,,,,6116.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-E264898E3285,Factura_MMPVAKI001XXXX.pdf,,,,6116.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-37EFC014ABD4,Factura_MMPVALI001XXXX.pdf,,,,4353.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-05B3380D133B,Factura_Mercartes_2025_C752426 (1).pdf,,Cant.  Precio Importe,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-4F91667471D8,Factura_Mercartes_2025_C752426 (2).pdf,,Cant.  Precio Importe,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-861D8DDDA731,Factura_Mercartes_2025_C752426 (5).pdf,,Cant.  Precio Importe,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-7BC883E6E22F,INV328281907.pdf,,"Número de transacción Tipo de transacción  Importe aplicado | suscripción para ese  se indican más arriba en la sección Detalles del cargo. A menos que las cancele,",2025-11-03,0.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-BEED4C041591,INV337023537.pdf,,"Nombre del cargo: Zoom Workplace Pro - Discount Descuento: 15,00%",2026-01-09,16.45,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-8039F42C4D27,INV341096775.pdf,,"Nombre del cargo: Zoom Workplace Pro - Discount Descuento: 15,00%",2026-02-09,16.45,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-30B1E743044F,INV341096775_A23333533_02092026.pdf,,"Nombre del cargo: Zoom Workplace Pro - Discount Descuento: 15,00%",2026-02-09,16.45,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-21B54CC125EC,INV345039957_A23333533_03092026.pdf,,Número de transacción Tipo de transacción  Importe aplicado | de facturación para ese  se indican más arriba en la sección Detalles del cargo. Puede cancelar en,2026-03-09,15.99,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-F7C43C554279,INV349200211_A23333533_04092026.pdf,,Número de transacción Tipo de transacción  Importe aplicado | de facturación para ese  se indican más arriba en la sección Detalles del cargo. Puede cancelar en,2026-04-09,15.99,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-A7CFBDD09DE8,INV353435789-2.pdf,,Número de transacción Tipo de transacción  Importe aplicado | de facturación para ese  se indican más arriba en la sección Detalles del cargo. Puede cancelar en,2026-05-09,15.99,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-9D57A51DFE34,INV357460022-2.pdf,,Número de transacción Tipo de transacción  Importe aplicado | de facturación para ese  se indican más arriba en la sección Detalles del cargo. Puede cancelar en,2026-06-09,15.99,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-D7B18B09E5B8,Invoice-SIB-4109801.pdf,,,,50.69,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-C13FEDA6EF39,Invoice_2025_0054_Big_Bang_TA25.pdf,Nom empresa: BITO PRODUCCIONS S.L. Maria Jose Moral Morgado,,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-E70F4ACAE94B,Invoice_2025_0055_Big_Bang_TA25.pdf,Nom empresa: BITO PRODUCCIONS S.L. Maria Jose Moral Morgado,,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-8AAB951CC442,NOM_CARLES_HARILLO.pdf,,BASE TIPO APORTACIÓN  BASE TIPO APORTACIÓN,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-0DED9C1FE528,SN_3291000012688128.pdf,Free2move Iberia S.A.U.,viaje Free2move,,33.55,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-785B25D15CB4,VJ5GPLTFTKM50244.pdf,,Importe: EUR,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-0276A3882B3D,VJLVK4WVZN6U2846.pdf,,Importe: EUR,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-52EF36845648,VJTLVPX73H4Y7930.pdf,,Importe: EUR,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-47DB7B00FFD3,VJXCFZZJ3WNC7931.pdf,,Importe: EUR,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-7E7964840066,cos maria moral09-1025.pdf,,,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-A4A9681EF7D0,cos maria moral0925.pdf,,,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-CDBE45BB3B94,dietas 2.pdf,,,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-5B396DED1198,factura 10a.pdf,,,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-CC04F3E6C3AD,factura monitor.pdf,,,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-56B6AB23DB9B,factura pie de tv.pdf,María José Moral Morgado Asociación Cultural Zeena Producciones CT Global (UK) LTD,,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-C69888DD0533,factura_1_servicio_data.pdf,,IG Audience Data AnalyUcs para campaña de markeUng,2026-02-10,2000.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-4239AC772FD1,finiq. darlene 241125.pdf,,BASE TIPO APORTACIÓN  BASE TIPO APORTACIÓN,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-5FAE208DEF45,finiq. maria jose 311025.pdf,,BASE TIPO APORTACIÓN  BASE TIPO APORTACIÓN,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-9AD3A9445367,invoice.pdf,"Regus Management España, S.L. – Paseo de la Castellana 200, 28046 , Madrid, Spain.",,2025-11-24,33.28,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-527FDC47641B,parking mercartes.pdf,,C.  Importe,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-88ECAD2034B9,parking reunikn ministerio.pdf,,,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-40DDAC96E623,peajes mercartes.pdf,,,,,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-D1CF2D60D325,Factura STAND ENGIRA!.pdf,,Precio Cant. Importe | Precio | Cant. | Importe,,948.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-180DF8154CF4,factura mercartes.pdf,,,2025-10-10,300.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-D0A420738BA5,2501003 maría j moral morgado.pdf,,,2025-12-15,110.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-09EE95E45477,2501006 maría j moral morgado.pdf,,,2025-12-19,350.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-4F16A35C0706,2601187 maría j moral morgado.pdf,,,2026-06-30,780.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-5A45648BD9F8,Factura_2025-07-25_202783634042_V99933615.pdf,IONOS Cloud S.L.U.,,2025-07-25,14.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-8A35E0FCCA75,Factura_2025-08-25_202783913737_V99933615.pdf,IONOS Cloud S.L.U.,,2025-08-25,14.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-0F4F79219EF1,Factura_2025-09-25_202784197236_V99933615.pdf,IONOS Cloud S.L.U.,,2025-09-25,14.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-F0D72BD41D47,Factura_2025-10-25_202784490445_V99933615.pdf,IONOS Cloud S.L.U.,,2025-10-25,17.83,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-6EFAD3C45C59,Factura_2025-11-25_202784784857_V99933615.pdf,IONOS Cloud S.L.U.,,2025-11-25,19.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-EB602DCA800D,Factura_2025-12-25_202785076764_V99933615.pdf,IONOS Cloud S.L.U.,,2025-12-25,19.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-0108EC341007,Factura_2026-01-25_202785368394_V99933615.pdf,IONOS Cloud S.L.U.,,2026-01-25,44.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-16125E142E6F,Factura_2026-02-25_202785665358_V99933615.pdf,IONOS Cloud S.L.U.,,2026-02-25,19.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-526BA7B5B236,Factura_2026-03-25_202785955106_V99933615.pdf,IONOS Cloud S.L.U.,,2026-03-25,19.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
GAS-A234C042F4AC,Factura_2026-04-25_202786241049_V99933615.pdf,IONOS Cloud S.L.U.,,2026-04-25,19.00,"Consulte extraccion_facturas_campos.csv: evidencia por página, tabla o texto; pago y cargos permanecen vacíos sin soporte."
